key,vsm_actual_x,SaldoInsolutoActual_x,PagosVencidosMeses_x,vsm_actual_y,SaldoInsolutoActual_y,PagosVencidosMeses_y,estado
2572,2686.144,216.42,1,2686.144,223.6,1,Jalisco
2573,2686.144,300.67,0,2686.144,301.95,0,Jalisco
2574,2686.144,119.38,0,2686.144,124.45,0,Jalisco
2575,2686.144,152.88,0,2686.144,153.5,0,Jalisco
2576,2686.144,127.16,0,2686.144,128.89,0,Jalisco
2577,2686.144,258.03,0,2686.144,259.08,0,Jalisco
2578,2686.144,214.22,0,2686.144,215.04,0,Jalisco
2579,2686.144,270.64,0,2686.144,271.87,0,Guerrero
2580,2686.144,273.54,0,2686.144,276.14,0,Guerrero
2581,2686.144,161.24,0,2686.144,161.96,0,Guerrero
2582,2686.144,117.46,2,2686.144,119.22,1,Guerrero
2583,2686.144,97.51,0,2686.144,98.98,0,Guerrero
2584,2686.144,70.6,0,2686.144,71.33,0,Guerrero
2585,2686.144,64.36,0,2686.144,64.59,0,Guerrero
2586,2686.144,56.39,0,2686.144,57.55,0,Jalisco
2587,2686.144,386.46,0,2686.144,394.81,0,Campeche
2588,2686.144,493.1,0,2686.144,498.69,0,Campeche
2589,2686.144,121.05,1,2686.144,120.53,0,Jalisco
2590,2686.144,177.21,0,2686.144,179.66,0,Baja California Sur
